shared.name;FeatureID;row.ID;FTIC Pn_delicatissima;FMEAN Pn_delicatissima;FMEDIAN Pn_delicatissima;FTIC System_Blank;FMEAN System_Blank;FMEDIAN System_Blank;FTIC 100;FMEAN 100;FMEDIAN 100;FTIC filtered;FMEAN filtered;FMEDIAN filtered;FTIC Blank;FMEAN Blank;FMEDIAN Blank;FTIC unfiltered;FMEAN unfiltered;FMEDIAN unfiltered;FTIC 0;FMEAN 0;FMEDIAN 0;FTIC Sample;FMEAN Sample;FMEDIAN Sample;FTIC 50;FMEAN 50;FMEDIAN 50;FTIC Procedure_Blank;FMEAN Procedure_Blank;FMEDIAN Procedure_Blank;FTIC Pn_multiseries;FMEAN Pn_multiseries;FMEDIAN Pn_multiseries;FTIC Pn_Subpacifica;FMEAN Pn_Subpacifica;FMEDIAN Pn_Subpacifica;FTIC Media;FMEAN Media;FMEDIAN Media;Blank_1;Blank_3;Media_Blank;blank_out;Pn_chubby14_100ml;Pn_chubby14_50ml;Pn_chubby14_unfil;Pn_delicatessima6_100ml;Pn_delicatessima6_50ml;Pn_delicatessima6_unfil;Pn_multiseries_100ml;Pn_multiseries_50ml;Pn_multiseries_unfil;Pn_skinny13_100ml;Pn_skinny13_50ml;Pn_skinny13_unfil;Pn_subpacifica5_100ml;Pn_subpacifica5_50ml;Pn_subpacifica5_unfil
3333;2718;X663.444.269.1..ID..2718.;63055304.99;10509217.5;4571535;554627.5352;184875.8451;176769.3594;36414980.02;6069163.337;1568340.788;79934559.97;7993455.997;3011870.517;554627.5352;184875.8451;176769.3594;7611343.269;1268557.212;953651.524;554627.5352;184875.8451;176769.3594;85986002.69;5732400.18;1535195.954;51130923.21;5113092.321;1164879.53;1559900.541;1559900.541;1559900.541;3332261.751;1110753.917;1052728.949;19598435.95;3266405.992;1156294.503;1559900.541;1559900.541;1559900.541;57782.11389;320076.0619;1559900.541;176769.3594;1145796.146;1166792.86;1648.246704;4696110;4446960;3587940;1535195.954;1052728.949;744336.8477;25901196.35;23260132.45;1162966.2;1576781.035;15152866.23;554551.4336
3334;8963;X664.253.570.1..ID..8963.;10197821.74;1699636.957;1652679.31;3115.408936;1038.469645;0;6354704.614;1059117.436;320190.2031;10097661.8;1009766.18;320190.2031;3115.408936;1038.469645;0;72298468.64;12049744.77;3869121.17;3115.408936;1038.469645;0;82360570.95;5490704.73;1021915.926;76041425.83;7604142.583;1284176.644;35559.49268;35559.49268;35559.49268;7323470.914;2441156.971;391388.6016;64839278.29;10806546.38;202937.4912;35559.49268;35559.49268;35559.49268;0;0;35559.49268;3115.408936;248991.8047;100518.9863;29034661.77;3397159.697;1546437.361;1021915.926;391388.6016;215755.8984;6716326.414;2141082.459;1758921.258;332305.0391;140522.5586;156883.1777;35157700
3335;3196;X664.466.620.1..ID..3196.;17059243.65;2843207.275;861305.1841;2487889.467;829296.4891;715628.1929;10314114.66;1719019.11;1654562.984;14048390.42;1404839.042;1128897.5;2487889.467;829296.4891;715628.1929;24081481;4013580.166;2021947.736;2487889.467;829296.4891;715628.1929;35977901.41;2398526.761;1600643.382;27815756.75;2781575.675;1596877.784;2151970;2151970;2151970;7354816.484;2451605.495;2161527.558;11563841.28;1927306.88;1654562.984;2151970;2151970;2151970;1273342.26;715628.1929;2151970;498919.0146;1600643.382;1323083.06;4163594.499;595690.332;787898.4268;1217318.516;3322616.418;2161527.558;1870672.508;934711.9414;737624.4326;12786000;1708482.587;876112.2822;1891925.473
3336;8105;X665.426.645.1..ID..8105.;82514168.41;13752361.4;2467719.472;256256.3721;85418.79069;93024.28271;11802571.66;1967095.277;1710119.665;20881952.48;2088195.248;1983507.889;256256.3721;85418.79069;93024.28271;76940805.47;12823467.58;1427039.844;256256.3721;85418.79069;93024.28271;97163286.37;6477552.425;1776508.664;86020186.28;8602018.628;1625771.274;659471.5742;659471.5742;659471.5742;3693178.827;1231059.609;1279037.541;10955939.14;1825989.856;1762187.952;659471.5742;659471.5742;659471.5742;98713.14673;64518.94263;659471.5742;93024.28271;2506469.564;2049342.02;1430034.211;4226295.387;3017765.186;1776508.664;990095.8086;1279037.541;1424045.478;1053029.412;1917673.759;70522896;2367209.918;1475033.884;1127849.539
3337;6691;X666.176.583.2..ID..6691.;7259193.653;1209865.609;379914.3184;4641.165527;1547.055176;0;23619456.05;3936576.008;270140.6309;38382465.02;3838246.502;379914.3184;4641.165527;1547.055176;0;3100046.854;516674.4756;62148.2207;4641.165527;1547.055176;0;41482511.87;2765500.791;208780.0391;17863055.82;1786305.582;145789.4336;0;0;0;34086357.3;11362119.1;12330400;136960.9121;22826.81868;10114.68652;0;0;0;0;4641.165527;0;0;75233.92578;0;20229.37305;465047.3359;294781.3008;82798.82813;19009216.3;12330400;2746741;4069958.484;2137827.665;208780.0391;0;0;41497.61328
3338;1345;X666.372.547.1..ID..1345.;12700798.76;2116799.794;1700253.259;0;0;0;13054264.42;2175710.737;272612.4834;19609727.59;1960972.759;280399.7246;0;0;0;13581956.63;2263659.438;1769070;0;0;0;33128514.77;2208567.652;1712660;20137419.81;2013741.981;1769070;63169.45313;63169.45313;63169.45313;16335629.29;5445209.765;6384390;4092086.714;682014.4523;276973.3569;63169.45313;63169.45313;63169.45313;0;0;63169.45313;0;0;0;1712660;218373.1992;233947.6816;2786491.365;6384390;3387360;6563879.295;6061480;2770230;630276.5176;326851.7676;227094.9463;1825480
3339;3928;X666.383.612.1..ID..3928.;2539243.046;423207.1743;196199.2729;16391.49023;5463.830078;0;3119369.429;519894.9048;196199.2729;3119369.429;311936.9429;0;16391.49023;5463.830078;0;38341004.48;6390167.414;1708242.398;16391.49023;5463.830078;0;41460373.91;2764024.928;370777.4932;38341004.48;3834100.448;246502.25;0;0;0;34731252.41;11577084.14;2222952.414;4189878.453;698313.0755;252009.2344;0;0;0;0;0;0;16391.49023;0;0;1923215.188;21621.05273;0;1653840;2222952.414;0;32508300;370777.4932;0;493004.5;504018.4688;0;1762644.797
3340;348;X666.388.290.1..ID..348.;26708654.05;4451442.341;3714985;278133.0215;92711.00716;97013.8186;28726543.6;4787757.267;5794595;42145750;4214575;3736475;278133.0215;92711.00716;97013.8186;13140327.65;2190054.608;2038690;278133.0215;92711.00716;97013.8186;54468504.05;3631233.603;3414490;26559534.05;2655953.405;2562035;817573.6035;817573.6035;817573.6035;7751770;2583923.333;2465300;20008080;3334680;2562035;817573.6035;817573.6035;817573.6035;51830.01538;129289.1875;817573.6035;97013.8186;5942920;2609210;1562520;6395880;3684770;3414490;3727750;2465300;1558720;6196150;3745200;3272164.047;5646270;1732300;2514860
3341;575;X666.422.301.1..ID..575.;22305763.8;3717627.3;2930766.899;19552.43701;6517.479004;0;21166397.99;3527732.998;3844780;31519483.77;3151948.377;2702085;19552.43701;6517.479004;0;10376023.09;1729337.182;1917798.887;19552.43701;6517.479004;0;41655158.87;2777010.591;2481560;20729108.87;2072910.887;2172345;240347.9883;240347.9883;240347.9883;8963590;2987863.333;2732110;10385805.07;1730967.512;1578835;240347.9883;240347.9883;240347.9883;19552.43701;0;240347.9883;0;3446850;1527930;754683.5313;6216910;3048250;2481560;4242710;1988770;2732110;5389840;2355920;2813283.799;1629740;1672563.769;1354037.773
3342;5951;X667.352.379.1..ID..5951.;5091053.943;848508.9906;286492.5977;0;0;0;3470100.334;578350.0557;206383.2891;3729036.787;372903.6787;114745.543;0;0;0;3638029.617;606338.2695;394907.6289;0;0;0;7066147.779;471076.5186;269126.1797;3896966.07;389696.607;286492.5977;300918.625;300918.625;300918.625;686338.1914;228779.3971;269184.6406;1288755.644;214792.6074;113608.1348;300918.625;300918.625;300918.625;0;0;300918.625;0;143581.9375;37171.80054;458570.8555;70019.02148;167647.9492;1677640;269184.6406;85909.14844;331244.4023;2602761.777;269126.1797;303859.0156;83634.33203;0;565796.7188
